DATE,PEA,ELCCND,DO,PH,WTRTMP,댐수위,저수량,강우량,TMn_HS
2018-03-31,,99.28571428571429,11.900357142857143,7.76095238095238,8.876071428571429,92.02,115.56,0.0,
2018-04-01,,99.32142857142857,11.78952380952381,7.723571428571428,8.579285714285714,91.98,115.123,0.0,
2018-04-02,,99.55952380952381,11.657857142857143,7.7089285714285705,8.67797619047619,91.94,114.688,0.0,0.054
2018-04-03,,95.86904761904762,10.994166666666667,8.138690476190476,9.397619047619047,91.89,114.144,0.0,
2018-04-04,,95.66666666666667,10.944285714285716,8.033333333333333,9.406190476190476,91.87,113.927,8.2,
2018-04-05,,95.67619047619048,10.975904761904761,8.017238095238095,9.389333333333333,91.86,113.819,12.3,
2018-04-06,,95.76190476190476,11.09154761904762,7.894285714285714,8.935357142857143,91.92,114.47,17.3,
2018-04-07,,96.57142857142857,11.00047619047619,7.563333333333334,6.4677380952380945,92.0,115.342,0.6,
2018-04-08,,95.69047619047619,11.188809523809525,7.707142857142857,7.634285714285714,92.02,115.56,0.0,
2018-04-09,,95.26190476190476,11.217619047619047,7.972023809523809,10.013095238095238,92.03,115.669,0.0,0.03
2018-04-10,,95.19047619047619,11.178571428571429,7.934285714285714,9.802380952380952,92.02,115.56,0.0,
2018-04-11,,95.19047619047619,11.178571428571429,7.934285714285714,9.802380952380952,92.01,115.451,1.1,
2018-04-12,,95.19047619047619,11.178571428571429,7.934285714285714,9.802380952380952,91.99,115.232,0.0,
2018-04-13,,95.42857142857143,11.173809523809524,8.002857142857144,9.65297619047619,91.95,114.797,0.0,
2018-04-14,,96.01190476190476,11.1725,8.083333333333334,9.296309523809523,92.0,115.342,29.4,
2018-04-15,,95.9047619047619,11.155714285714286,7.968095238095239,9.332380952380952,92.06,115.998,0.0,
2018-04-16,,95.9047619047619,11.155714285714286,7.968095238095239,9.332380952380952,92.1,116.436,0.0,0.116
2018-04-17,,95.9047619047619,11.155714285714286,7.968095238095239,9.332380952380952,92.1,116.436,0.0,
2018-04-18,,,,,,92.11,116.546,0.0,
2018-04-19,,,,,,92.08,116.217,0.0,
2018-04-20,,,,,,92.06,115.998,0.0,
2018-04-21,,,,,,92.04,115.779,0.0,
2018-04-22,,,,,,92.0,115.342,3.5,
